企業名称,決算期,流動資産,棚卸資産,有形固定資産,固定資産,資産合計,流動負債,固定負債,長期借入金,負債合計,資本金,資本剰余金,利益剰余金,自己株式,売上高,売上原価,販売費及び一般管理費,営業利益,経常利益,当期純利益,広告宣伝費,研究開発費,人件費・福利厚生費
A,2008/03,270549,62668,357001,428095,698788,244944,320616,232891,565560,30415,29402,63117,-2545,455804,357716,75746,22341,15042,5460,0,2669,11666
A,2009/03,280678,68841,355301,424815,705602,241480,337961,261510,579441,30415,29402,62240,-4170,465804,371168,76027,18608,11199,356,0,2534,13337
A,2010/03,293910,50472,338014,409562,703549,241244,329615,264541,570860,30415,29402,63753,-4147,423105,330108,69831,23165,14248,2381,0,2217,12692
A,2011/03,290159,54425,321904,382108,672386,244954,312240,252736,557195,30415,29402,44536,-4162,410159,327375,69406,13377,5665,-18234,0,2079,12343
A,2012/03,269483,64445,255111,326822,596425,222921,276190,211367,499112,30415,29402,39590,-4635,408985,334240,64261,10483,4748,-5321,0,1399,11369
A,2013/03,246258,61391,292213,412764,659112,260381,290761,226988,551142,30415,29402,52967,-6695,407362,325338,70445,11577,6637,15109,0,2149,12416
A,2014/03,243871,58589,286290,402163,646112,253243,273616,215283,526860,30415,30293,58319,-2882,430054,334113,79892,16049,11257,6293,0,2836,13660
A,2015/03,252489,66058,287490,400115,652744,237696,250553,207549,488249,39707,39585,70411,-2895,450239,344236,84206,21796,21783,13208,0,2683,14051
A,2016/03,257154,69169,296373,398985,656310,219261,262229,199992,481490,39707,39922,83772,-2907,474077,359933,89821,24323,21259,14594,0,2791,14689
A,2017/03,257048,63587,299184,400530,657747,196288,270380,192521,466668,39707,39817,94067,-2909,477140,358005,95600,23535,21347,12136,0,2902,15274
A,2018/03,256965,72102,319564,428951,686141,192152,300924,195681,493076,39707,39817,96513,-2909,531311,409937,110312,11062,12779,3971,0,3280,18145
B,2008/03,473499,52893,1099050,1309759,1783393,546950,780497,429578,1327447,160001,125750,137829,-923,1487827,1114162,289276,84389,56523,64143,15076,0,38665
B,2009/03,446673,57119,1080268,1314208,1761065,503120,932148,546975,1435268,160001,125720,123830,-6394,1392581,1124805,260187,7589,91,-4260,10039,0,34596
B,2010/03,421516,56910,1152354,1436760,1859085,472613,906383,628609,1378996,231381,196635,64510,-7016,1228353,1049367,233233,-54247,-86303,-57387,6941,0,34824
B,2011/03,472187,55459,1189200,1455318,1928021,447591,954076,665161,1401667,231381,196330,94892,-5800,1357653,1071003,218842,67808,37020,23305,5433,0,37315
B,2012/03,548719,49859,1219875,1453675,2002570,461045,986666,716663,1447711,231381,195723,117622,-4089,1411504,1086670,227812,97022,68455,28178,5002,0,38353
B,2013/03,717700,55474,1196362,1417874,2137242,458387,905755,621806,1364142,318789,281969,150663,-1898,1483581,1148196,231558,103827,76965,43140,6028,0,34553
B,2014/03,696266,63919,1223114,1476059,2173607,573947,848369,499022,1422316,318789,281955,155820,-6330,1570145,1238298,265861,65986,42928,18886,7741,0,37841
B,2015/03,692783,63370,1295208,1608906,2302437,666677,832208,514403,1498885,318789,282209,189353,-5269,1713457,1335084,286832,91541,67129,39239,8586,0,42269
B,2016/03,631188,61853,1327954,1597069,2228808,585490,848418,488172,1433908,318789,282774,253545,-4830,1791187,1337540,317184,136463,130725,78169,11112,0,44962
B,2017/03,666725,64912,1360263,1647161,2314410,572647,817588,469655,1390235,318789,283249,334880,-3756,1765259,1324846,294874,145539,140375,98827,11363,0,44645
B,2018/03,723493,62470,1433101,1838479,2562462,648080,913830,418185,1561910,318789,268208,457746,-59015,1971799,1481881,325402,164516,160636,143887,13132,0,47669
C,2008/03,357707,68486,144357,318157,675864,205989,70136,4566,276125,64506,70258,248920,-11196,723484,186466,473553,63465,65088,35459,55902,14565,129937
C,2009/03,316995,68330,138232,289572,606568,174097,80519,31110,254617,64506,70258,245544,-16839,690256,171752,468589,49914,52061,19373,53475,15242,124885
C,2010/03,318241,67342,132784,457203,775445,261512,148725,47779,410237,64506,70258,259063,-23111,644201,160166,433684,50350,51485,33671,43597,14459,116708
C,2011/03,313215,65850,131221,425904,739120,159676,259316,88337,418993,64506,70258,231336,-3874,670701,168692,457550,44458,44480,12790,42740,14467,127654
